Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra stavu 3,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Precision stavu 3,Recall stavu 0,Recall stavu 1,Recall stavu 2,Recall stavu 3
0.8939490445859872,333.0,0.9216650278597182,0.9224745497259201,0.9162303664921466,0.8114649681528663,0.8929587280576627,0.8881869867340493,0.9334389857369255,0.8838383838383839,0.875,0.9577656675749319,0.9117647058823529,0.9510869565217391,0.7565320665083135
0.6132930513595166,1280.0,0.45202312138728323,0.6377404830126893,0.6809160305343511,0.7109375,0.6204042837335809,0.31330128205128205,0.8974654377880185,0.7408637873754153,0.7133258678611423,0.8112033195020747,0.4946031746031746,0.6299435028248588,0.7085650723025584
0.8254640182351026,536.0,0.8112975849365535,0.8931185944363104,0.8769230769230769,0.8064243448858833,0.846940900295456,0.7536121673003803,0.8356164383561644,0.8878504672897196,0.891588785046729,0.8785460992907801,0.9591194968553459,0.8662613981762918,0.7361111111111112
0.93,266.0,0.9352409638554217,0.9458156028368795,0.25806451612903225,0.0,0.5347802707053333,0.9409090909090909,0.9215035931453842,0.36363636363636365,0.0,0.9296407185628742,0.9714452214452215,0.2,0.0
0.8908317580340265,231.0,0.9300847457627118,0.861671469740634,0.8795811518324608,0.8517350157728707,0.8807680957771693,0.9174503657262278,0.8214285714285714,0.8888888888888888,0.8910891089108911,0.9430719656283566,0.906060606060606,0.8704663212435233,0.8157099697885196
0.6617380808690404,1121.0,0.6548352046360014,0.731355252606255,0.7340267459138187,0.6019517205957884,0.680542230937966,0.5005537098560354,0.742671009771987,0.9573643410852714,0.9213836477987422,0.9465968586387434,0.7203791469194313,0.5951807228915663,0.4469870327993898
0.8826473859844272,422.0,0.90869916509561,0.9078651685393259,0.9130434782608695,0.8159057437407953,0.8863783889091501,0.9259055982436882,0.8801742919389978,0.9032258064516129,0.8021235521235521,0.8921205711263882,0.9373549883990719,0.9230769230769231,0.8301698301698301
0.9775042444821732,53.0,0.9783183500793231,0.982070984266374,0.6363636363636364,0.8787878787878788,0.868885212374303,0.9788359788359788,0.9860396767083027,0.4666666666666667,0.8285714285714286,0.9778012684989429,0.978134110787172,1.0,0.9354838709677419
0.899911426040744,339.0,0.908526061442872,0.9442578912021491,0.9043824701195219,0.8504772004241782,0.9019109057971804,0.9100968188105117,0.9487179487179487,0.8631178707224335,0.855923159018143,0.906960716747071,0.9398395721925134,0.9497907949790795,0.845100105374078
0.8115338882282996,634.0,0.8853932584269663,0.6885496183206107,0.7004830917874396,0.7728531855955678,0.7618197885326461,0.8789737869492471,0.5299647473560517,0.9731543624161074,0.9772329246935202,0.8919071873231466,0.9825708061002179,0.5471698113207547,0.6391752577319587
