Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra stavu 3,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Precision stavu 3,Recall stavu 0,Recall stavu 1,Recall stavu 2,Recall stavu 3
0.893312101910828,335.0,0.920697597894044,0.9221085759244689,0.9214659685863874,0.8110831234256927,0.8938388164576483,0.890515595162317,0.9376,0.8888888888888888,0.8632707774798928,0.9529972752043597,0.9071207430340558,0.9565217391304348,0.7648456057007126
0.6151057401812688,1274.0,0.4412811387900356,0.6391162029459901,0.6887218045112782,0.7167123287671233,0.6214578687536068,0.3089700996677741,0.8987341772151899,0.7363344051446945,0.7062634989200864,0.7717842323651453,0.49587301587301585,0.6468926553672316,0.7274749721913237
0.8238358840768479,541.0,0.8102605863192183,0.8850072780203785,0.8809891808346213,0.8044217687074829,0.8451697034704253,0.7492469879518072,0.8238482384823849,0.8962264150943396,0.8958333333333334,0.8820921985815603,0.9559748427672956,0.8662613981762918,0.7299382716049383
0.93,266.0,0.9354433559407184,0.9455473624503687,0.25,0.03278688524590164,0.5409444009092472,0.9418310571573091,0.9209944751381215,0.3333333333333333,1.0,0.9291417165668663,0.9714452214452215,0.2,0.016666666666666666
0.8870510396975425,239.0,0.9256110520722636,0.862914862914863,0.8795811518324608,0.8454901960784313,0.8783993157245047,0.9158780231335436,0.8236914600550964,0.8888888888888888,0.8792822185970636,0.9355531686358755,0.906060606060606,0.8704663212435233,0.8141993957703928
0.6572118286059143,1136.0,0.6512133285041651,0.7252396166134185,0.7433628318584071,0.591636551368095,0.6778630820860215,0.49778516057585825,0.7334410339256866,0.9581749049429658,0.9153354632587859,0.9413612565445026,0.717219589257504,0.6072289156626506,0.43707093821510296
0.8832035595105673,420.0,0.907272235739389,0.9086809470124013,0.9202898550724637,0.818889970788705,0.8887832521532397,0.9280973451327433,0.8837719298245614,0.910394265232975,0.798670465337132,0.8873611845584347,0.9350348027842227,0.9304029304029304,0.8401598401598401
0.9749575551782682,59.0,0.977284733227681,0.9798313164649798,0.6363636363636364,0.8285714285714286,0.8555127786569314,0.9767687434002112,0.9859778597785978,0.4666666666666667,0.7435897435897436,0.9778012684989429,0.9737609329446064,1.0,0.9354838709677419
0.8993209329790375,341.0,0.9079584775086506,0.944743935309973,0.9101796407185628,0.8478146392838336,0.902674173205255,0.9117442668519805,0.9524456521739131,0.8702290076335878,0.8473684210526315,0.9042039972432805,0.9371657754010695,0.9539748953974896,0.8482613277133825
0.8115338882282996,634.0,0.8848314606741573,0.6912442396313364,0.6954436450839329,0.7729468599033816,0.761116551323202,0.8784160624651423,0.5338078291814946,0.9539473684210527,0.9722222222222222,0.8913412563667232,0.9803921568627451,0.5471698113207547,0.6414662084765178
