Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra stavu 3,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Precision stavu 3,Recall stavu 0,Recall stavu 1,Recall stavu 2,Recall stavu 3
0.5656050955414013,1364.0,0.7777777777777778,0.4195710455764075,0.0,0.0,0.29933720583854634,0.6377506538796861,0.36997635933806144,0.0,0.0,0.9965940054495913,0.4845201238390093,0.0,0.0
0.156797583081571,2791.0,0.258168184252812,0.0,0.0,0.07732497387669801,0.0838732895323775,0.14821648216482164,0.0,0.0,0.6379310344827587,1.0,0.0,0.0,0.041156840934371525
0.4395962227287529,1721.0,0.6674691543785736,0.4036850921273032,0.0,0.0,0.2677885616264692,0.5052391799544419,0.2751141552511416,0.0,0.0,0.9831560283687943,0.7578616352201258,0.0,0.0
0.5273684210526316,1796.0,0.746090841399851,0.0,0.0,0.0,0.18652271034996276,0.5950118764845606,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5467863894139886,959.0,0.7370929308975377,0.5331781140861467,0.0,0.0,0.3175677612459211,0.5847511027095148,0.43289224952741023,0.0,0.0,0.9967776584317938,0.693939393939394,0.0,0.0
0.328002414001207,2227.0,0.46746869629265897,0.32569360675512665,0.0,0.0,0.19829057576194642,0.30532392559332905,0.6887755102040817,0.0,0.0,0.9968586387434555,0.2132701421800948,0.0,0.0
0.5917686318131257,1468.0,0.8171240395170143,0.3917828319882612,0.0,0.0,0.3022267178763189,0.6985735735735735,0.286480686695279,0.0,0.0,0.9841353781068218,0.6194895591647331,0.0,0.0
0.4083191850594228,1394.0,0.7709861450692747,0.0,0.0,0.03640500568828214,0.20184778768938919,0.6273209549071618,0.0,0.0,0.018867924528301886,1.0,0.0,0.0,0.5161290322580645
0.5795689400649542,1424.0,0.7892401552967276,0.5454545454545454,0.0,0.0,0.33367367518781826,0.6603248259860789,0.4383116883116883,0.0,0.0,0.9807029634734665,0.7219251336898396,0.0,0.0
0.5918549346016647,1373.0,0.7891674127126231,0.40641711229946526,0.0,0.0,0.2988961312530221,0.6527212143650499,0.3438914027149321,0.0,0.0,0.9977362761743067,0.49673202614379086,0.0,0.0
