Kombinace příznaků,Délka úseku,Accuracy,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(1, 1, 0, 0, 1)",5,0.8333333333333333,0.8408996590189701,0.8053523468191285,1.0,0.8820840019460331,0.9247674920909441,0.7261832840679214,1.0,0.7716666666666667,0.905,1.0
"(1, 1, 0, 1, 0)",5,0.599047619047619,0.7333735181836447,0.0,1.0,0.5777911727278815,0.59141810570382,0.0,1.0,0.9650000000000001,0.0,1.0
"(1, 1, 0, 1, 1)",5,0.5942857142857143,0.7293396758848665,0.0,1.0,0.5764465586282889,0.5893120134651799,0.0,1.0,0.9566666666666667,0.0,1.0
"(1, 1, 1, 0, 0)",5,0.9123809523809523,0.9210421364359931,0.8897156362928577,1.0,0.9369192575762837,0.9509753618762462,0.8534109815577569,1.0,0.8933333333333333,0.93,1.0
"(1, 1, 1, 0, 1)",5,0.9123809523809523,0.9212843622791637,0.8892033330632308,1.0,0.9368292317807982,0.9479132457580732,0.8570016939582157,1.0,0.8966666666666667,0.925,1.0
"(1, 1, 1, 1, 0)",5,0.6,0.7341772151898734,0.0,1.0,0.5780590717299577,0.5918367346938775,0.0,1.0,0.9666666666666666,0.0,1.0
"(1, 1, 1, 1, 1)",5,0.5923809523809525,0.7277271627831976,0.0,1.0,0.5759090542610659,0.5884704397222806,0.0,1.0,0.9533333333333334,0.0,1.0
"(0, 0, 0, 0, 1)",6,0.8914285714285715,0.9021440343734657,0.8633984951467634,1.0,0.9218475098400762,0.9294931854197804,0.8301592484484683,1.0,0.8766666666666666,0.9,1.0
"(0, 0, 0, 1, 0)",6,0.6571428571428573,0.7671895678814193,0.18333333333333332,1.0,0.6501743004049175,0.6638868433971526,0.175,1.0,0.9383333333333332,0.1925,1.0
"(0, 0, 0, 1, 1)",6,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(0, 0, 1, 0, 0)",6,0.9209523809523811,0.9292089413452395,0.8995930488189801,1.0,0.9429339967214065,0.9516862010891286,0.8721214586274721,1.0,0.9083333333333332,0.93,1.0
"(0, 0, 1, 0, 1)",6,0.9200000000000002,0.9283083279353186,0.8984872395332116,1.0,0.9422651891561766,0.9515847959029777,0.8699762925974985,1.0,0.9066666666666666,0.93,1.0
"(0, 0, 1, 1, 0)",6,0.5904761904761905,0.7261146496815286,0.0,1.0,0.5753715498938429,0.5876288659793815,0.0,1.0,0.95,0.0,1.0
"(0, 0, 1, 1, 1)",6,0.5819047619047619,0.7187679200458753,0.0,1.0,0.5729226400152918,0.5837651122625216,0.0,1.0,0.9349999999999999,0.0,1.0
"(0, 1, 0, 0, 0)",6,0.8438095238095238,0.8526270972680097,0.8149494645341712,1.0,0.8891921872673937,0.9246002531633488,0.7435401243462963,1.0,0.7916666666666666,0.9025000000000001,1.0
"(0, 1, 0, 0, 1)",6,0.8352380952380951,0.8426393391615917,0.8076255920091464,1.0,0.8834216437235793,0.9268719356630248,0.7284337425216858,1.0,0.7733333333333333,0.9075,1.0
"(0, 1, 0, 1, 0)",6,0.5904761904761905,0.7261146496815286,0.0,1.0,0.5753715498938429,0.5876288659793815,0.0,1.0,0.95,0.0,1.0
