Kombinace příznaků,Délka úseku,Accuracy,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)",6,0.7952380952380953,0.8116013349504501,0.749596021612216,1.0,0.8537324521875554,0.8560404572331178,0.7014725975436129,1.0,0.7716666666666667,0.805,1.0
"(0, 0, 0, 1, 0)",6,0.8085714285714285,0.8480155564437049,0.6604602579353078,1.0,0.8361586047930043,0.8314810525524635,0.6468631573739673,1.0,0.8816666666666666,0.675,1.0
"(0, 0, 0, 1, 1)",6,0.8057142857142857,0.8459178478768143,0.6571570075144243,1.0,0.8343582851304129,0.8266144669645847,0.6473792616768843,1.0,0.8816666666666666,0.6675000000000001,1.0
"(0, 0, 1, 0, 0)",6,0.8476190476190476,0.8615484568199442,0.8104152612925765,1.0,0.8906545727041735,0.8958806653352631,0.7706062075913914,1.0,0.8299999999999998,0.8549999999999999,1.0
"(0, 0, 1, 0, 1)",6,0.8495238095238096,0.8635438831689211,0.8122952862865939,1.0,0.891946389818505,0.8962899750903958,0.773980931318439,1.0,0.8333333333333334,0.8549999999999999,1.0
"(0, 0, 1, 1, 0)",6,0.8800000000000001,0.8942605698831517,0.846054361045524,0.9894736842105264,0.909929538379734,0.9092047419084786,0.8259820668022485,1.0,0.8800000000000001,0.8675,0.9800000000000001
"(0, 0, 1, 1, 1)",6,0.82,0.8582300636452158,0.675011084550267,1.0,0.844413716065161,0.8419088283869091,0.6609711266371172,1.0,0.8916666666666668,0.6900000000000001,1.0
"(0, 1, 0, 0, 0)",6,0.7628571428571428,0.7766222641773303,0.7185302382965112,1.0,0.8317175008246138,0.8412473040977714,0.6559036393713813,1.0,0.7216666666666667,0.7949999999999999,1.0
"(0, 1, 0, 0, 1)",6,0.7657142857142857,0.7795455618540118,0.7216046216831972,1.0,0.8337167278457362,0.8434210466315115,0.6592182862392503,1.0,0.725,0.7975,1.0
"(0, 1, 0, 1, 0)",6,0.8019047619047619,0.8409601656209406,0.6529721674153058,1.0,0.8313107776787488,0.8316397218606417,0.6302401087284808,1.0,0.8683333333333334,0.6775,1.0
"(0, 1, 0, 1, 1)",6,0.8,0.8394167241735098,0.6515057601131959,1.0,0.8303074947622353,0.8297092996540775,0.6297237576097201,1.0,0.8666666666666666,0.675,1.0
"(0, 1, 1, 0, 0)",6,0.819047619047619,0.8324098840575646,0.7805983465740292,1.0,0.8710027435438648,0.8819922693247504,0.7274612112892826,1.0,0.7883333333333333,0.8424999999999999,1.0
"(0, 1, 1, 0, 1)",6,0.819047619047619,0.8324098840575646,0.7805983465740292,1.0,0.8710027435438648,0.8819922693247504,0.7274612112892826,1.0,0.7883333333333333,0.8424999999999999,1.0
"(0, 1, 1, 1, 0)",6,0.8161904761904761,0.8547153171021176,0.6690945281479248,1.0,0.8412699484166808,0.8387482724424309,0.6542605958002912,1.0,0.8883333333333333,0.6849999999999999,1.0
"(0, 1, 1, 1, 1)",6,0.8161904761904761,0.8547153171021176,0.6690945281479248,1.0,0.8412699484166808,0.8387482724424309,0.6542605958002912,1.0,0.8883333333333333,0.6849999999999999,1.0
"(1, 0, 0, 0, 0)",6,0.7942857142857143,0.8121347979856226,0.7457879646929966,1.0,0.8526409208928731,0.8494275461380724,0.7047289758045572,1.0,0.7783333333333333,0.7925000000000001,1.0
"(1, 0, 0, 0, 1)",6,0.7980952380952381,0.8159650497661449,0.7498990489013521,1.0,0.8552880328891657,0.8517293937426681,0.7099609123721564,1.0,0.7833333333333333,0.795,1.0
"(1, 0, 0, 1, 0)",6,0.8066666666666666,0.8459821690425292,0.6574714217013475,1.0,0.8344845302479589,0.8312543580216957,0.6409713727285774,1.0,0.8783333333333333,0.675,1.0
"(1, 0, 0, 1, 1)",6,0.8076190476190476,0.8470784302837948,0.6594637134396171,1.0,0.835514047907804,0.831212138080567,0.6447692769677354,1.0,0.8800000000000001,0.675,1.0
"(1, 0, 1, 0, 0)",6,0.8342857142857143,0.8507306130141707,0.7914403550901639,1.0,0.8807236560347782,0.8762572914587354,0.7605313358120095,1.0,0.8266666666666668,0.825,1.0
