Kombinace příznaků,Délka úseků,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 1, 0)","(4, 0, 12, 0)",0.6503050004758029,1103.7,0.7183110901662714,0.5556905042560718,0.26812143675743705,0.5140410103932601,0.6144345103360813,0.536777986263406,0.6298479493248814,0.8835440034573612,0.6298092797578635,0.22290041830888532
"(0, 0, 0, 1, 0)","(4, 0, 14, 0)",0.6492347079974466,1107.2,0.7162278305616205,0.557258486972082,0.266136251892111,0.513207523141938,0.6114733791121848,0.5394587235038204,0.6301824759137927,0.88360024642699,0.6280993206415239,0.220959298870612
"(0, 0, 0, 1, 0)","(4, 0, 16, 0)",0.6478752865768206,1111.6,0.7145400205341843,0.5578589086307328,0.2638832610420886,0.5120940634023352,0.6089252515893598,0.5434578865076882,0.6291173245203734,0.8841227088338609,0.6257663224354756,0.21908014104314502
"(0, 0, 0, 1, 0)","(6, 8, 12, 0)",0.6560139112506993,1083.0,0.7275057203044216,0.5525495622550045,0.2861660486144234,0.5220737770579499,0.6273677175152559,0.5307433728507325,0.6285082124638987,0.8831206120454105,0.6348393233163324,0.2368102047792362
"(0, 0, 0, 1, 0)","(6, 8, 14, 0)",0.6554811544139911,1084.8,0.7271824137055607,0.552384269658439,0.2840191321068891,0.5211952718236297,0.6268517785747555,0.5306439812064748,0.6300463202631484,0.8834318162864557,0.6350328417219022,0.23531796724686554
"(0, 0, 0, 1, 0)","(6, 8, 16, 0)",0.654614266354917,1087.7,0.7259024112310626,0.5526280058652737,0.2814620792061215,0.519997498767486,0.6249597728010998,0.5317545072223482,0.6312228659457666,0.8835872659588798,0.6340785452883342,0.23342664671416408
"(0, 0, 0, 1, 0)","(6, 10, 12, 0)",0.6554846650353103,1085.6,0.7286081792669867,0.5485998575655676,0.282100163909489,0.519769400247348,0.6290525502190119,0.5242600311597446,0.6322833831559416,0.8830983139445137,0.6356168899760724,0.23432529134193172
"(0, 0, 0, 1, 0)","(6, 10, 14, 0)",0.6549157653831992,1087.4,0.7278025546814352,0.5486247844617271,0.2804693405729917,0.5189655599053847,0.6278133815238602,0.5247383348792292,0.6318618253332261,0.8836367792418149,0.6349537294835426,0.2331128909117845
"(0, 0, 0, 1, 0)","(6, 10, 16, 0)",0.6548237870614898,1088.6,0.7265812257666847,0.5495257710973205,0.2790130042410689,0.5183733337016915,0.6260501637136351,0.5254714366436699,0.6320790686143513,0.8836367792418149,0.6349465408803145,0.23158971094852127
"(0, 0, 0, 1, 0)","(6, 0, 12, 0)",0.6530696822017847,1096.0,0.7214579572473574,0.5524746852620661,0.27160978424479343,0.5151808089180723,0.6183437742988157,0.5295930287247055,0.6334231241809054,0.8840667716432021,0.6329898382051292,0.22511182140420377
