Kombinace rysů,délka úseku,Accuracy,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 1, 0)","(4, 10, 12, 0)",0.7974344172941804,0.8431382574886159,0.808478845638543,0.7034525047495945,0.7850232026255846,0.8465989186308013,0.8054827385088277,0.6996868115534179,0.8432494514748707,0.8189668781411126,0.711157729699772
"(0, 0, 0, 1, 0)","(4, 10, 14, 0)",0.8072918092287479,0.8471501345937706,0.8211043022382339,0.721616569217322,0.796623668683109,0.8485070189716689,0.8218398557609763,0.7193578167732932,0.8491483279180011,0.8276115857675995,0.7277172081188443
"(0, 0, 0, 1, 0)","(4, 10, 16, 0)",0.8126099145950072,0.8510700885329211,0.8234775028402808,0.7313632836001882,0.8019702916577967,0.8498440014623823,0.8210247421129221,0.7343251387111926,0.8556953249544941,0.8334421515754109,0.7327790059990056
"(0, 0, 0, 1, 0)","(4, 0, 12, 0)",0.7788692396583264,0.8346782127240185,0.7824175916568336,0.6734910641906358,0.7635289561904959,0.8378348780870908,0.7839918587788277,0.667357145839081,0.8357736635203041,0.788182987975649,0.6842943381103269
"(0, 0, 0, 1, 0)","(4, 0, 14, 0)",0.7864305322924554,0.840334849642308,0.7852999375855665,0.6872110660204727,0.7709486177494491,0.8451748369345626,0.7819140400487941,0.681397695776466,0.8398392019176747,0.7958191663823831,0.6983829818107967
"(0, 0, 0, 1, 0)","(4, 0, 16, 0)",0.7898704575323061,0.843515036168174,0.7883766447527887,0.6921539517922165,0.7746818775710598,0.8464178460382017,0.7816543654907925,0.6887747304570375,0.8445717843617737,0.8020636462501297,0.7003181705078145
"(0, 0, 0, 1, 0)","(6, 8, 12, 0)",0.7965524512758897,0.8409245177491529,0.8095637079605573,0.7035254439223533,0.7846712232106878,0.8425625987692669,0.8144787675214944,0.6986748988134293,0.8426313749904167,0.8122368656076508,0.7121090037308277
"(0, 0, 0, 1, 0)","(6, 8, 14, 0)",0.8034107192951774,0.8465327796692634,0.8134240618273416,0.71392864723477,0.7912951629104582,0.847050323790634,0.8114075183181899,0.7145275852319037,0.8495979502394475,0.8234697459742076,0.7170187174048078
"(0, 0, 0, 1, 0)","(6, 8, 16, 0)",0.8087591899323666,0.847873784125088,0.8257374519641518,0.7239207097518306,0.7991773152803567,0.8482124421883949,0.8256728888459854,0.7228890804378268,0.8512558572500291,0.8329239111306581,0.7287157822601122
"(0, 0, 0, 1, 0)","(6, 10, 12, 0)",0.7985206311468728,0.84201398655978,0.8091822394681552,0.708616598141069,0.7866042747230015,0.8429965265461205,0.8100057283019126,0.7052026114185675,0.8440581602762872,0.8163264158068408,0.7152145119972714
