Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
0.6662420382165605,1048.0,0.8290304073436604,0.0,0.6043904717421765,0.477806959695279,0.716765873015873,0.0,0.5756227758007118,0.9829931972789115,0.0,0.6361848574237955
0.2525679758308157,2474.0,0.36429974740387316,0.0,0.21974148061104584,0.19468040933830633,0.22363886974500344,0.0,0.4583333333333333,0.9818456883509834,0.0,0.1445131375579598
0.565939433409313,1333.0,0.6516419832582099,0.0,0.5554705432287682,0.402370842162326,0.49245742092457423,0.0,0.7145669291338582,0.9628924833491912,0.0,0.45431789737171463
0.5273684210526316,1796.0,0.8675324675324675,0.0,0.0,0.28917748917748914,0.7660550458715596,0.0,0.0,1.0,0.0,0.0
0.6034971644612477,839.0,0.7767894959762812,0.0,0.4787234042553192,0.41850430007720013,0.6372480889506602,0.0,0.5317577548005908,0.9945770065075922,0.0,0.43530834340991537
0.3596861798430899,2122.0,0.5285050159040862,0.0,0.10905550146056475,0.21252017245488364,0.36772216547497444,0.0,0.29708222811671087,0.9391304347826087,0.0,0.06678592725104353
0.6993882091212458,1081.0,0.8434802892465594,0.0,0.579033579033579,0.47417128942671277,0.7545909849749582,0.0,0.6053082191780822,0.9561078794288737,0.0,0.554945054945055
0.41256366723259763,1384.0,0.9511335012594458,0.0,0.041328413284132844,0.3308206381811929,0.9085659287776708,0.0,0.02126044039483675,0.9978858350951374,0.0,0.7368421052631579
0.6504281074697372,1184.0,0.8469794541551672,0.0,0.5900933237616655,0.4790242593056109,0.7667962243198223,0.0,0.5212428662016487,0.9458904109589041,0.0,0.6799007444168734
0.6866825208085613,1054.0,0.831296992481203,0.0,0.5356435643564357,0.4556468522792129,0.7138821630347054,0.0,0.6106094808126411,0.9949381327334084,0.0,0.47707231040564374
