,1,2,3,4,5,6,7,8,9,10,average
EMM 8,5464.960613343603,6340.397832890756,5566.166723975748,4990.371109707153,5337.535724389769,5933.314565250924,5175.537789741661,5384.756249024962,5404.579143975021,5450.289771418465,5504.790952371807
EMM 10,6243.680438379804,7400.609516047693,6385.326225752559,5780.946958541792,6144.860917482949,6885.433105712086,5934.481442522108,6318.4825982536095,6173.294536556131,6263.689891969754,6353.080563121849
EMM 12,6859.029777477407,8309.045502880292,7043.051716880505,6429.263790006172,6805.957433455764,7672.976666601217,6556.6741801366215,7102.703196293401,6789.320946020541,6914.850246724524,7048.287345647643
EMM 14,7293.786851455965,9007.731676722722,7522.776494872719,6905.501285265536,7299.310234827888,8257.212451933627,7013.1117237341205,7688.315518114679,7231.942219750418,7374.678681957681,7559.436713863537
EMM 16,7535.734838133325,9463.58423973052,7810.508509567741,7190.42069885827,7611.216343943144,8619.646116878828,7281.059872063388,8037.945873130254,7484.518372619449,7639.915810245056,7867.455067516998
MV 5,860.6272795475679,914.4057826586687,927.9576968209428,807.724255682886,923.1603233554786,1036.1983373627434,815.9218019464824,872.9664126028507,797.9967795748078,880.3029595830996,883.726162913553
MV 6,1033.0997856700458,1081.9228252638068,1117.3419883256875,957.9636647895259,1101.5102896830836,1237.1831569128642,966.3029135087558,1037.8272642773666,954.1559897329723,1036.1535052980175,1052.3461383462127
MV 7,1271.0773611741527,1320.4071210024495,1373.9574575076524,1173.4951445032627,1346.630608187008,1519.1542745048741,1178.756095654824,1271.1969736823996,1169.2678554901393,1261.9707616858227,1288.5913653392586
MV 8,1552.0578664549953,1605.7661465496383,1675.118501924592,1431.447356938246,1634.894788342935,1856.1563821104041,1432.06120327504,1549.2748357216483,1422.4798527827927,1532.888512229286,1569.214544632958
MV 9,1862.2962357877025,1924.9815566745442,2007.5442681686595,1718.6227441617077,1952.9297544671135,2233.915039976437,1714.3100588631628,1858.2796444578737,1700.9278416109375,1834.7023213778762,1880.8509465546017
MV 10,2192.12181048712,2269.0459346541816,2362.808220699478,2026.322206581882,2292.2127959951304,2643.3454005583603,2016.9901106832456,2189.1209338355216,1996.611522092349,2157.5674966297415,2214.614643221701
MV 11,2528.513214659519,2626.228229466071,2729.4208987711963,2343.6468752461537,2641.339719137514,3072.27942189964,2331.4632028154756,2530.420556767166,2299.194204557219,2489.7537430925713,2559.2260066412528
MV 12,2857.2604152908425,2982.8252186480067,3094.2932012402302,2658.200757546521,2987.1045707301414,3505.1720182538675,2646.2428230643736,2869.24672827832,2600.5396676453356,2817.295157569468,2901.8180558267104
MV 13,3177.9798240511777,3336.994892801757,3458.341863656242,2968.899686479986,3330.0091746099606,3941.4325863095637,2959.885627072404,3204.664409441011,2896.218156584837,3138.0491997216404,3241.247542072858
MV 14,3484.8731335336292,3684.782086332843,3816.3824691792156,3270.659780023618,3666.148182989526,4374.792923660662,3268.4318346417567,3531.335057955702,3177.658962799862,3446.7586592354246,3572.182309035224
MV 15,3764.8671929154725,4015.4408435076634,4156.139342845381,3552.563984998164,3984.8148594378167,4790.867789981824,3560.596925019056,3837.575367532577,3435.615656855571,3733.0727670816023,3883.1554730175135
MV 16,4014.0982603344755,4320.394330705224,4471.224460325197,3808.5814831510443,4280.237101137949,5180.511893616167,3826.316093155272,4117.010504946271,3669.9703097909305,3988.6907869250954,4167.703522408762
