n_estim,Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
5,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8743597469117204,417,0.8905369326609315,0.8716502115655853,0.8469442942130881,0.8697104794798683,0.9004199160167966,0.8089005235602095,0.8817567567567568,0.880868544600939,0.944954128440367,0.8147762747138397
10,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8731545646279,421,0.8886276814575375,0.8757142857142857,0.8425068119891008,0.8689495930536412,0.8899352560329605,0.82171581769437,0.8844393592677345,0.8873239436619719,0.9373088685015291,0.8043704474505723
20,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8701416089183489,431,0.8867370892018779,0.8739376770538244,0.8360836083608361,0.8655861248721793,0.8867370892018779,0.8139841688654353,0.8868144690781797,0.8867370892018779,0.9434250764525994,0.7908428720083247
30,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8704429044893041,430,0.8878449794480329,0.8704883227176221,0.8378229796591534,0.8653854272749362,0.8883666274970623,0.8102766798418972,0.8881118881118881,0.8873239436619719,0.9403669724770642,0.7929240374609782
40,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8683338354926182,437,0.8848198464264619,0.8742857142857143,0.8336933045356372,0.8642662884159377,0.8906064209274673,0.8203753351206434,0.8664421997755332,0.8791079812206573,0.9357798165137615,0.8033298647242456
50,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8689364266345285,435,0.8862099382534548,0.8714285714285714,0.8350571584104518,0.8642318893641594,0.8880377136122569,0.8176943699731903,0.8755707762557078,0.8843896713615024,0.9327217125382263,0.7981269510926119
60,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8683338354926182,437,0.8850913376546847,0.8723404255319149,0.8342420937840785,0.8638912856568927,0.8887573964497042,0.8134920634920635,0.8762886597938144,0.8814553990610329,0.9403669724770642,0.7960457856399584
70,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8701416089183489,431,0.8868591632292281,0.8725978647686833,0.8374116367591082,0.8656228882523399,0.8905325443786982,0.8162450066577897,0.876993166287016,0.8832159624413145,0.9373088685015291,0.8012486992715921
80,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8698403133473938,432,0.8866587957497049,0.8736616702355461,0.8361276365603029,0.865482700848518,0.8919239904988123,0.8192771084337349,0.8704954954954955,0.8814553990610329,0.9357798165137615,0.8043704474505723
90,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8704429044893041,430,0.8868591632292281,0.8732193732193733,0.8380434782608696,0.8660406715698237,0.8905325443786982,0.8173333333333334,0.8771331058020477,0.8832159624413145,0.9373088685015291,0.8022892819979188
100,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8683338354926182,437,0.8856132075471698,0.8730385164051355,0.8329718004338394,0.8638745081287148,0.8898104265402843,0.8181818181818182,0.869762174405436,0.8814553990610329,0.9357798165137615,0.7991675338189386
110,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8698403133473938,432,0.8868591632292281,0.8728571428571429,0.8362255965292842,0.8653139675385516,0.8905325443786982,0.8190348525469169,0.8731596828992072,0.8832159624413145,0.9342507645259939,0.8022892819979188
120,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8668273576378427,442,0.8836385115180153,0.872416250890948,0.8318009734991888,0.8626185786360506,0.8894173602853745,0.8170894526034713,0.865990990990991,0.8779342723004695,0.9357798165137615,0.8002081165452654
130,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8701416089183489,431,0.8873820754716981,0.8714285714285714,0.8374864572047671,0.8654323680350121,0.8915876777251185,0.8176943699731903,0.8734463276836159,0.8832159624413145,0.9327217125382263,0.8043704474505723
140,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8701416089183489,431,0.8858070227205666,0.8746438746438746,0.8379403794037941,0.8661304255894118,0.8908011869436202,0.8186666666666667,0.8744343891402715,0.880868544600939,0.9388379204892966,0.8043704474505723
150,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8710454956312143,428,0.8880377136122569,0.873481057898499,0.8379403794037941,0.8664863836381832,0.8917159763313609,0.8201342281879195,0.8744343891402715,0.8843896713615024,0.9342507645259939,0.8043704474505723
160,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8665260620668876,443,0.8837622005323869,0.8722341184867951,0.8308189655172413,0.8622717615121411,0.8908765652951699,0.8179384203480589,0.8614525139664805,0.8767605633802817,0.9342507645259939,0.8022892819979188
170,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8704429044893041,430,0.8871870397643593,0.8699360341151386,0.8398692810457516,0.8656641183084166,0.8905972797161443,0.8127490039840638,0.8811428571428571,0.8838028169014085,0.9357798165137615,0.8022892819979188
180,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8710454956312143,428,0.8879082082965578,0.8730385164051355,0.8383233532934131,0.8664233593317022,0.8902654867256637,0.8181818181818182,0.8789954337899544,0.8855633802816901,0.9357798165137615,0.8012486992715921
190,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8701416089183489,431,0.8861356932153392,0.8725978647686833,0.8388497015735215,0.8658610865191813,0.8908659549228944,0.8162450066577897,0.8764172335600907,0.8814553990610329,0.9373088685015291,0.8043704474505723
200,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8707442000602591,429,0.8868591632292281,0.8736616702355461,0.8388497015735215,0.8664568450127653,0.8905325443786982,0.8192771084337349,0.8764172335600907,0.8832159624413145,0.9357798165137615,0.8043704474505723
210,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8710454956312143,428,0.8880377136122569,0.8709907341411262,0.8397609994568169,0.8662631490700666,0.8917159763313609,0.8157543391188251,0.8784090909090909,0.8843896713615024,0.9342507645259939,0.8043704474505723
