Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra stavu 3,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Precision stavu 3,Recall stavu 0,Recall stavu 1,Recall stavu 2,Recall stavu 3
0.8576433121019108,447.0,0.898976109215017,0.8544600938967136,0.6492753623188405,0.8314997104806022,0.8085528189777934,0.9008207934336525,0.8639240506329114,0.6956521739130435,0.8112994350282486,0.8971389645776566,0.8452012383900929,0.6086956521739131,0.8527315914489311
0.6093655589123868,1293.0,0.5053435114503817,0.6703601108033241,0.5487804878048781,0.6255731023942944,0.5875143031132196,0.3997584541062802,0.8897058823529411,0.48283261802575106,0.5770676691729323,0.6867219917012448,0.5377777777777778,0.635593220338983,0.6829810901001112
0.7860631716053402,657.0,0.75625,0.8458274398868458,0.7283950617283951,0.8103651354534747,0.7852094092671789,0.7616906474820144,0.7686375321336761,0.7398119122257053,0.8249400479616307,0.750886524822695,0.940251572327044,0.7173252279635258,0.7962962962962963
0.9263157894736842,280.0,0.937036150347139,0.9406392694063926,0.16666666666666666,0.29411764705882354,0.5846149333697555,0.9005982512655315,0.9847036328871893,0.1875,0.35714285714285715,0.9765469061876247,0.9003496503496503,0.15,0.25
0.8275047258979206,365.0,0.8611435239206534,0.8198581560283688,0.8198433420365535,0.793006993006993,0.8234630037481421,0.9425287356321839,0.7706666666666667,0.8263157894736842,0.73828125,0.7926960257787325,0.8757575757575757,0.8134715025906736,0.8564954682779456
0.6541943270971635,1146.0,0.6544546211490425,0.6744186046511628,0.5078369905956113,0.6835443037974683,0.6300636300483212,0.5431928127159641,0.6244952893674294,0.726457399103139,0.8390677025527192,0.8230366492146597,0.7330173775671406,0.39036144578313253,0.5766590389016019
0.8470522803114572,550.0,0.888200506899465,0.8371584699453551,0.7606679035250464,0.8056698673982624,0.8229241869420323,0.95,0.7913223140495868,0.7706766917293233,0.7428330522765598,0.8339502908514014,0.888631090487239,0.7509157509157509,0.8801198801198801
0.9231748726655348,181.0,0.9776357827476039,0.9359908010732081,0.07874015748031496,0.6326530612244898,0.6562549506314042,0.9849785407725322,0.9870654810024252,0.041666666666666664,0.4626865671641791,0.9704016913319239,0.8899416909620991,0.7142857142857143,1.0
0.8497195157956894,509.0,0.8755928493250639,0.8838845883180858,0.7345309381237525,0.8204642349597348,0.8286181526816592,0.9302325581395349,0.9331352154531947,0.7022900763358778,0.7452667814113597,0.8270158511371468,0.839572192513369,0.7698744769874477,0.9125395152792413
0.7728894173602854,764.0,0.8651000870322019,0.6363636363636364,0.35911602209944754,0.786692759295499,0.6618181261976962,0.8875,0.47572815533980584,0.6701030927835051,0.9136363636363637,0.8438030560271647,0.9607843137254902,0.24528301886792453,0.6907216494845361
