Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra stavu 3,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Precision stavu 3,Recall stavu 0,Recall stavu 1,Recall stavu 2,Recall stavu 3
0.8170189098998888,658.0,0.8743117069667226,0.8278775079197466,0.37900874635568516,0.7594202898550725,0.7101545627743067,0.7987751531058618,0.7596899224806202,0.9285714285714286,0.9046961325966851,0.9656266525647805,0.9095127610208816,0.23809523809523808,0.6543456543456544
0.8619824341279799,440.0,0.9185779816513762,0.8808080808080808,0.44976076555023925,0.7453936348408711,0.7486351157126417,0.8650107991360692,0.7946537059538274,0.9591836734693877,0.959051724137931,0.9792176039119804,0.9879154078549849,0.29375,0.6095890410958904
0.834661942722173,560.0,0.8599752168525403,0.8969539857420609,0.41935483870967744,0.8056704075605434,0.7454886122162054,0.7810917276308385,0.8704402515723271,0.9154929577464789,0.9166666666666666,0.9565816678152997,0.9251336898395722,0.2719665271966527,0.7186512118018967
0.8556794215125038,479.0,0.8894529046813311,0.910039113428944,0.4279835390946502,0.7802281368821293,0.7519259235217636,0.8066496163682865,0.889171974522293,0.9629629629629629,0.9771428571428571,0.9912005028284098,0.931909212283044,0.2751322751322751,0.649367088607595
0.8647395691300791,496.0,0.9114088159031979,0.899803536345776,0.44813278008298757,0.7601935038009675,0.7548846590332323,0.8446135362434922,0.8193202146690519,1.0,0.9874326750448833,0.9896762083528859,0.9978213507625272,0.2887700534759358,0.6179775280898876
0.8491497531541415,550.0,0.8929734760353653,0.8933901918976546,0.3058823529411765,0.6603375527426161,0.6881458934042031,0.8138252756573368,0.9148471615720524,0.8387096774193549,0.9178885630498533,0.9891752577319588,0.8729166666666667,0.18705035971223022,0.515650741350906
0.8127388535031848,588.0,0.85052754982415,0.8064791133844842,0.4634146341463415,0.7881297446514838,0.7271377605016148,0.7463991769547325,0.8975332068311196,0.9193548387096774,0.9406919275123559,0.9884196185286104,0.7321981424148607,0.30978260869565216,0.6781472684085511
0.9006091696056429,310.0,0.9334341906202723,0.9379014989293362,0.5024630541871922,0.826431718061674,0.8000576154496187,0.882689556509299,0.8866396761133604,0.9807692307692307,0.9852941176470589,0.9903691813804173,0.9954545454545455,0.33774834437086093,0.7116843702579666
0.7033405954974582,817.0,0.7188318981654811,0.7684210526315789,0.38,0.6994328922495274,0.6416714607616468,0.5614035087719298,0.9170854271356784,0.9827586206896551,0.9438775510204082,0.9989594172736732,0.6612318840579711,0.23553719008264462,0.5555555555555556
0.8996666666666666,301.0,0.9402985074626866,0.9009584664536742,0.4672897196261682,0.8438356164383561,0.7880955774952213,0.9055441478439425,0.8213592233009709,0.9803921568627451,0.9506172839506173,0.9778270509977827,0.9976415094339622,0.3067484662576687,0.7586206896551724
