Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
0.8367630700778643,587.0,0.8730356697430781,0.8804469273743016,0.7561188811188811,0.8365338260787536,0.826251180358829,0.8491379310344828,0.8530571992110454,0.9254362771020624,0.91415313225058,0.6789638932496075
0.8654328732747805,429.0,0.9157383604684376,0.8766140602582496,0.7359891964888589,0.8427805390718487,0.8674242424242424,0.7955729166666666,0.9527972027972028,0.969751966122202,0.9760383386581469,0.5995599559955995
0.840271626808385,541.0,0.8575929426591052,0.8947368421052632,0.7782931354359925,0.8435409734001204,0.794049008168028,0.8898071625344353,0.8859556494192186,0.9321917808219178,0.8997214484679665,0.6939619520264682
0.8472431455257607,507.0,0.8721511951083936,0.8587570621468926,0.7820197044334976,0.8376426538962614,0.8284054910242872,0.7979002624671916,0.9577677224736049,0.920774647887324,0.9296636085626911,0.6607700312174818
0.8819198254704118,433.0,0.9156679015035956,0.9295199182839632,0.7678369195922989,0.8710082464599527,0.854759967453214,0.875,0.9840348330914369,0.9859221022993899,0.9912854030501089,0.6295264623955432
0.8727372462973121,464.0,0.9074910820451842,0.898815931108719,0.7144019528071603,0.8402363219870211,0.8423841059602649,0.9298440979955457,0.9089026915113871,0.9835051546391752,0.8697916666666666,0.5884718498659517
0.8156050955414013,579.0,0.8528974739970282,0.8,0.7540229885057471,0.8023068208342584,0.7572559366754618,0.9003831417624522,0.9073305670816044,0.9761904761904762,0.7197549770290965,0.6450344149459194
0.8913113177300417,339.0,0.9252383341695936,0.90744920993228,0.7818448023426061,0.8715107821481599,0.8822966507177034,0.8322981366459627,0.978021978021978,0.9725738396624473,0.9975186104218362,0.651219512195122
0.7490922294843864,691.0,0.7543443917851501,0.7871657754010695,0.7251347378735914,0.7555483016866037,0.6129653401797176,0.9292929292929293,0.925,0.9804928131416838,0.6827458256029685,0.5962933118452861
0.896,312.0,0.9385355424906467,0.8915145005370569,0.7792012057272042,0.869750416251636,0.9060887512899897,0.8185404339250493,0.9315315315315316,0.9733924611973392,0.9787735849056604,0.6696891191709845
