Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
0.8495550611790879,541.0,0.8825316455696203,0.8925802879291251,0.7772552372808893,0.8507890569265449,0.8465274405050995,0.8538135593220338,0.8535211267605634,0.9217345319936542,0.9350348027842227,0.7135007849293563
0.8760978670012547,395.0,0.9250871080139372,0.8757225433526011,0.7674418604651163,0.8560838372772182,0.8894472361809045,0.7994722955145118,0.9295774647887324,0.9637023593466425,0.9680511182108626,0.6534653465346535
0.8597578978447004,475.0,0.8722240102993241,0.9119669876203577,0.807953004970628,0.8640480009634365,0.8227079538554949,0.9008152173913043,0.8904382470119522,0.928082191780822,0.9233983286908078,0.739454094292804
0.8608014462187406,462.0,0.8813273340832396,0.8724453840732911,0.8069753457606735,0.8535826879724014,0.8461123110151187,0.8091503267973856,0.9558404558404558,0.9196009389671361,0.9464831804281345,0.6982310093652445
0.8884646850286337,409.0,0.9194395796847635,0.9374358974358974,0.7828029034059185,0.8798927935088597,0.8617152236356176,0.8856589147286822,0.9817927170868347,0.985452839042703,0.9956427015250545,0.6508820798514392
0.8809654415798135,434.0,0.9161475802587447,0.9110169491525424,0.7154471544715447,0.8475372279609439,0.855863921217547,0.9267241379310345,0.9090909090909091,0.9855670103092784,0.8958333333333334,0.5898123324396782
0.8359872611464968,515.0,0.8703590992087644,0.8323699421965318,0.7750981491867639,0.8259423968640199,0.7874449339207048,0.9032258064516129,0.902088772845953,0.9727891156462585,0.7718223583460949,0.6794493608652901
0.9012504007694774,308.0,0.9363867684478372,0.8906077348066298,0.8096935138987883,0.8788960057177517,0.904621435594887,0.8027888446215139,0.9742710120068611,0.9704641350210971,1.0,0.6926829268292682
0.7788671023965141,609.0,0.7796747967479675,0.845213849287169,0.7463697967086157,0.790419480914584,0.6453566621803499,0.9367945823927766,0.9345454545454546,0.9845995893223819,0.7699443413729128,0.621273166800967
0.877,369.0,0.9464864864864865,0.7747318235995232,0.7597535934291582,0.8269906345050559,0.9235232067510548,0.7831325301204819,0.8055152394775036,0.970620842572062,0.7665094339622641,0.7189119170984456
