Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
0.8868186874304783,407.0,0.909772423025435,0.9051918735891648,0.8471411901983664,0.8873684956043221,0.9213665943600867,0.8813186813186813,0.8396299151888974,0.8984664198836594,0.9303944315545244,0.8547880690737834
0.9027603513174404,310.0,0.9452587496260844,0.882051282051282,0.8345323741007195,0.8872808019260287,0.9349112426035503,0.8146143437077131,0.9169960474308301,0.955837870538415,0.9616613418530351,0.7656765676567657
0.8904635370534396,371.0,0.9014373716632443,0.9180555555555555,0.8606965174129353,0.8933964815439118,0.9008207934336525,0.9155124653739612,0.8628428927680798,0.9020547945205479,0.9206128133704735,0.858560794044665
0.8891232298885207,368.0,0.9049429657794676,0.8759744861800142,0.8694690265486725,0.8834621595027182,0.9020408163265307,0.8163804491413474,0.9279811097992916,0.9078638497652582,0.944954128440367,0.81789802289282
0.9222797927461139,285.0,0.9427670121676431,0.9471502590673575,0.8627654065251166,0.9175608925867058,0.906805374945817,0.9031620553359684,0.9754098360655737,0.981698732989207,0.9956427015250545,0.7734447539461468
0.8982446516730663,371.0,0.9327442317133039,0.9093833780160858,0.779009608277901,0.8737124060024302,0.8903467666354264,0.9370165745856354,0.8682042833607908,0.979381443298969,0.8833333333333333,0.7064343163538874
0.8742038216560509,395.0,0.9051421271159374,0.8520032706459526,0.838006230529595,0.8650505427638283,0.8531005418422637,0.9140350877192982,0.8877887788778878,0.9639455782312926,0.7978560490045942,0.7935103244837758
0.9233728759217698,239.0,0.9527518172377986,0.8903654485049833,0.8671611598111936,0.9034261418513251,0.9381390593047034,0.804,0.9698340874811463,0.9678270042194093,0.9975186104218362,0.7841463414634147
0.835511982570806,453.0,0.835676625659051,0.86652977412731,0.8219663418954827,0.8413909138939478,0.7304147465437788,0.9701149425287356,0.9124877089478859,0.9763860369609856,0.7829313543599258,0.7477840451248993
0.8943333333333333,317.0,0.9599779188517803,0.7744982290436836,0.8052287581699347,0.8465683020217994,0.9560197910940077,0.7754137115839244,0.8126649076517151,0.9639689578713969,0.7735849056603774,0.7979274611398963
