Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
0.8801446051167965,431.0,0.9027777777777778,0.9027149321266968,0.8393135725429017,0.8816020941491255,0.9120345385860766,0.8807947019867549,0.834108527131783,0.893707033315706,0.925754060324826,0.8445839874411303
0.8946047678795483,336.0,0.9395933014354066,0.8813314037626628,0.8145454545454546,0.8784900532478414,0.9290360733293909,0.8055555555555556,0.9068825910931174,0.9503932244404114,0.9728434504792333,0.7392739273927392
0.8848538529672276,390.0,0.8991138377641446,0.9104788341429563,0.8520216756982076,0.8872047825351029,0.8948439620081411,0.9073305670816044,0.8588235294117647,0.9034246575342466,0.9136490250696379,0.8453267162944582
0.8840012051822839,385.0,0.9018012783265543,0.8768683274021353,0.8553880513679508,0.8780192190322135,0.8929804372842347,0.8202396804260985,0.9228915662650602,0.9107981220657277,0.9418960244648318,0.7970863683662851
0.9181892555222253,300.0,0.9417060544677021,0.9382716049382716,0.8535695674830641,0.9111824089630126,0.9048442906574394,0.8888888888888888,0.9726840855106889,0.981698732989207,0.9934640522875817,0.7604456824512534
0.8938562808557323,387.0,0.9287109375,0.905558553696708,0.7714072970960536,0.8685589294309205,0.8821892393320965,0.9395296752519597,0.8676716917922948,0.9804123711340206,0.8739583333333333,0.6943699731903485
0.8671974522292993,417.0,0.899333121625913,0.8367854183927091,0.8336798336798337,0.8565994578994852,0.8433591423466349,0.9115523465703971,0.8842337375964718,0.963265306122449,0.7733537519142419,0.7885939036381514
0.9236934915036871,238.0,0.9508708084221471,0.9013452914798207,0.867244829886591,0.9064869765961863,0.9374679651460789,0.8220858895705522,0.9572901325478645,0.9646624472573839,0.9975186104218362,0.7926829268292683
0.8206245461147422,494.0,0.8268398268398268,0.8393782383419689,0.8060904612628751,0.8241028421482236,0.7148203592814372,0.9507042253521126,0.907258064516129,0.9804928131416838,0.75139146567718,0.7252215954875101
0.92,240.0,0.9574115044247787,0.8884120171673819,0.8471074380165289,0.8976436532028966,0.9552980132450332,0.8149606299212598,0.9044117647058824,0.9595343680709535,0.9764150943396226,0.7966321243523317
