Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
0.8489988876529477,543.0,0.8753877973112719,0.9078651685393259,0.7855382087099425,0.8562637248535134,0.8563480020232676,0.8801742919389978,0.8241379310344827,0.8952934955050238,0.9373549883990719,0.750392464678179
0.8820577164366374,376.0,0.92510239906378,0.8813559322033898,0.7907557776389756,0.8657380363020485,0.8957507082152975,0.8180574555403557,0.9147398843930635,0.956442831215971,0.9552715654952076,0.6963696369636964
0.858281665190434,480.0,0.8639633747547416,0.9245810055865922,0.809106830122592,0.8658837368213086,0.8266583229036295,0.927170868347339,0.8595348837209302,0.9047945205479452,0.9220055710306406,0.7642679900744417
0.867429948779753,440.0,0.884494124390943,0.8749116607773851,0.8269896193771626,0.8621318015151637,0.8644257703081233,0.8134034165571616,0.9275549805950841,0.9055164319248826,0.9464831804281345,0.7460978147762747
0.9015544041450777,361.0,0.9245408276167294,0.9570680628272251,0.8172043010752689,0.8996043971730745,0.8747906197654941,0.9213709677419355,0.9706257982120051,0.9802909432191459,0.9956427015250545,0.7056638811513464
0.8837081733406473,424.0,0.9207583859990277,0.903672166045769,0.737490377213241,0.8539736430860126,0.8712051517939282,0.9238302502720348,0.8661844484629295,0.9762886597938144,0.884375,0.6420911528150134
0.8445859872611465,488.0,0.878139534883721,0.8513071895424836,0.780993992353905,0.8368135722600365,0.8068376068376069,0.9124343257443083,0.8783783783783784,0.963265306122449,0.7978560490045942,0.7030481809242871
0.9025328630971465,304.0,0.9384418901660281,0.8844884488448845,0.8147100424328148,0.8792134604812425,0.9098563645368994,0.7944664031620553,0.9696969696969697,0.9688818565400844,0.9975186104218362,0.7024390243902439
0.8079157588961511,529.0,0.8086367485182049,0.8705402650356778,0.7787528868360277,0.8193099667966367,0.6880403458213257,0.9660633484162896,0.9123376623376623,0.9804928131416838,0.7922077922077922,0.6792908944399678
0.8686666666666667,394.0,0.941112618724559,0.7659574468085106,0.7460857726344452,0.8177186127225049,0.9218500797448166,0.7677725118483413,0.7862266857962698,0.9611973392461197,0.7641509433962265,0.7098445595854922
